dataset,subject,n_trials,rhoA,okA,best_band_A,best_acc_A,gainB_g05,gainB,gainA_same_half
Dreyer2023,46,240,0.19999999999999998,0,0,0.6833333333333333,2.500000000000002,5.000000000000004,0.8333333333333304
Dreyer2023,47,240,0.49999999999999994,0,0,0.625,-5.000000000000004,-2.500000000000002,-1.6666666666666607
Dreyer2023,48,240,0.7,1,4,0.7916666666666667,-2.499999999999991,-3.3333333333333326,-9.166666666666645
Dreyer2023,49,240,0.9999999999999999,1,4,0.8,1.1102230246251565e-14,-0.8333333333333193,-0.8333333333333304
Dreyer2023,50,240,0.41039134083406165,0,0,0.7666666666666666,1.6666666666666607,2.499999999999991,-0.8333333333333415
Dreyer2023,51,240,0.051298917604257706,0,2,0.65,0.8333333333333304,-1.6666666666666607,-12.5
Dreyer2023,52,240,0.09999999999999999,0,0,0.7083333333333333,0.8333333333333304,-0.8333333333333415,-1.666666666666683
Dreyer2023,53,240,-0.7999999999999999,0,0,0.675,-0.8333333333333415,-2.500000000000002,-9.999999999999998
Dreyer2023,54,240,0.7,1,0,0.6583333333333334,-3.333333333333355,-6.666666666666677,-5.000000000000004
Dreyer2023,55,240,0.9999999999999999,1,0,0.9666666666666666,2.500000000000002,-0.8333333333333304,0.8333333333333193
Dreyer2023,56,240,0.8999999999999998,1,0,0.9916666666666668,3.3333333333333215,2.500000000000002,2.500000000000002
Dreyer2023,57,240,0.09999999999999999,1,0,0.7916666666666667,3.3333333333333326,9.166666666666657,4.999999999999993
Dreyer2023,58,240,0.8999999999999998,0,4,0.7,0.8333333333333304,0.0,-3.3333333333333437
Dreyer2023,59,160,-0.10540925533894596,0,0,0.675,-6.25,-9.999999999999998,1.2499999999999956
Dreyer2023,60,240,0.19999999999999998,0,3,0.6,2.500000000000002,4.999999999999993,0.0
Dreyer2023,61,240,0.9999999999999999,1,1,0.8083333333333333,6.666666666666665,6.666666666666665,1.6666666666666718
Dreyer2023,62,240,0.8999999999999998,1,0,0.8916666666666666,11.666666666666659,10.833333333333329,9.166666666666645
Dreyer2023,63,240,0.49999999999999994,1,1,0.6666666666666667,1.6666666666666496,4.166666666666652,0.0
Dreyer2023,64,240,0.6155870112510925,1,2,0.5499999999999999,-0.8333333333333193,-8.333333333333314,-3.3333333333333326
Dreyer2023,65,240,0.9999999999999999,1,3,0.8666666666666666,-2.220446049250313e-14,-1.666666666666683,2.500000000000002
Dreyer2023,66,240,0.8720815992723809,1,0,0.6333333333333333,-2.499999999999991,-4.999999999999993,-5.000000000000016
Dreyer2023,67,240,0.7,1,0,0.6583333333333333,-1.6666666666666718,-5.833333333333335,3.3333333333333326
Dreyer2023,68,240,0.051298917604257706,1,0,0.6333333333333333,-1.6666666666666607,0.0,-1.1102230246251565e-14
Dreyer2023,69,240,0.7,1,4,0.875,0.0,2.500000000000002,4.999999999999993
Dreyer2023,70,240,0.7181848464596079,0,1,0.6333333333333333,0.0,-0.8333333333333193,0.8333333333333304
Dreyer2023,71,240,0.8999999999999998,1,3,0.5916666666666667,1.6666666666666607,-4.166666666666674,0.8333333333333415
Dreyer2023,72,240,0.5642880936468347,0,1,0.6166666666666666,1.6666666666666607,-1.6666666666666718,-3.3333333333333437
Dreyer2023,73,240,0.6,0,4,0.9333333333333333,1.1102230246251565e-14,-0.8333333333333304,-7.499999999999996
Dreyer2023,74,240,0.0,0,0,0.7833333333333333,-1.6666666666666718,-0.8333333333333415,-1.6666666666666718
Dreyer2023,75,240,0.9999999999999999,1,0,0.7666666666666667,0.0,0.8333333333333304,3.3333333333333326
Dreyer2023,76,240,0.8999999999999998,1,0,0.95,0.0,-0.8333333333333415,4.166666666666674
Dreyer2023,77,240,0.0,0,1,0.6416666666666666,2.500000000000002,1.6666666666666607,-2.499999999999991
Dreyer2023,78,240,0.7,1,0,0.8416666666666666,4.1666666666666625,4.1666666666666625,-2.220446049250313e-14
Dreyer2023,79,240,0.8999999999999998,0,1,0.9,3.3333333333333437,4.166666666666674,2.500000000000002
Dreyer2023,80,240,-0.3,0,4,0.6250000000000001,2.499999999999991,-0.8333333333333359,-2.4999999999999964
Dreyer2023,81,240,0.6155870112510925,0,0,0.55,1.1102230246251565e-14,-0.8333333333333304,-3.333333333333327
Dreyer2023,82,240,-0.19999999999999998,0,4,0.5916666666666666,-0.8333333333333415,-0.8333333333333304,-0.8333333333333304
Dreyer2023,83,240,0.7,1,0,0.7916666666666666,0.8333333333333193,0.0,-2.499999999999991
Dreyer2023,84,240,0.8207826816681233,1,0,0.7333333333333333,3.3333333333333326,5.833333333333335,5.000000000000004
Dreyer2023,85,240,0.7999999999999999,1,3,0.7666666666666666,-4.166666666666652,-7.499999999999996,-2.500000000000002
Dreyer2023,86,240,0.8999999999999998,1,1,0.5916666666666666,0.0,-1.6666666666666607,2.500000000000002
Dreyer2023,87,240,0.9999999999999999,1,0,0.9166666666666667,-2.500000000000002,-2.500000000000002,4.166666666666674
