dataset,subject,n_bands,n_channels,n_trials,best_band,best_band_acc,acc_spread,band_acc,logvar_li_argmax,logvar_li_correct,logvar_li_rho,logvar_li_maxw,logvar_li_entropy,logvar_li_mi_max,logvar_li_acc_cost,logpower_argmax,logpower_correct,logpower_rho,logpower_maxw,logpower_entropy,logpower_mi_max,logpower_acc_cost,csp_argmax,csp_correct,csp_rho,csp_maxw,csp_entropy,csp_mi_max,csp_acc_cost
Cho2017,32,7,64,200,1,0.5799999999999998,0.15499999999999986,0.5400;0.5800;0.4350;0.4550;0.4600;0.4250;0.5700,2,0,-0.5,0.363189716375473,1.7089177243353748,0.03430048460260841,0.1449999999999999,3,0,0.5,0.23514095560993784,1.9080188221253291,0.023468340046845938,0.12499999999999989,3,0,-0.25,0.49602095274853897,1.1797831781369683,0.22264875216565147,0.12499999999999989
Cho2017,33,7,64,200,6,0.605,0.14,0.5300;0.5400;0.4900;0.5550;0.4750;0.4650;0.6050,3,0,-0.3571428571428572,0.3563583491839494,1.7222713066219597,0.02932954832446925,0.050000000000000044,2,0,-0.1785714285714286,0.17042580631078744,1.9347253279060728,0.01595812949320594,0.11499999999999994,2,0,-0.10714285714285716,0.47169471792606166,1.3488578128837152,0.2036781395283211,0.11499999999999994
Cho2017,34,7,64,200,3,0.5850000000000001,0.07000000000000006,0.5200;0.5700;0.5550;0.5850;0.5600;0.5450;0.5150,2,0,0.396412483586046,0.4558350362754283,1.544025043546847,0.03227155078744248,0.030000000000000027,4,0,0.0,0.16196876864254725,1.9430385858844186,0.017030593703359024,0.025000000000000022,0,0,-0.14285714285714288,0.7604214892704563,0.918854917090292,0.16952562256121084,0.06500000000000006
Cho2017,35,7,64,200,4,0.8100000000000002,0.09500000000000008,0.7150;0.8050;0.7800;0.7850;0.8100;0.7750;0.7800,6,0,0.39285714285714296,0.7908403183764822,0.8530340056453201,0.061986504011023756,0.030000000000000138,6,0,0.42857142857142866,0.44851682661541703,1.6237058144426149,0.043649474160821815,0.030000000000000138,6,0,0.1785714285714286,0.5281558016409293,1.251832621148554,0.27346606544080554,0.030000000000000138
Cho2017,36,7,64,200,1,0.7049999999999998,0.27499999999999986,0.4500;0.7050;0.4550;0.4300;0.5100;0.4400;0.4300,1,1,0.4504687313477795,0.3336326087708498,1.658915341733684,0.03608052354126815,0.0,0,0,0.5225437283634242,0.16634332427511062,1.939035562209962,0.014428012136307077,0.25499999999999984,1,1,-0.07207499701564472,0.3040310013535238,1.6907067009983026,0.125500670047708,0.0
Cho2017,37,7,64,200,1,0.74,0.10499999999999998,0.7350;0.7400;0.6350;0.6950;0.7250;0.6950;0.6550,4,0,0.3571428571428572,0.7391815125252182,0.9108238456008235,0.08833533097224248,0.014999999999999902,0,0,0.0,0.2466984471265754,1.8682857747321677,0.02923888405547183,0.004999999999999893,5,0,-0.642857142857143,0.4452610627695354,1.427565650317362,0.18471258857562772,0.04499999999999993
Cho2017,38,7,64,200,1,0.55,0.06500000000000006,0.4950;0.5500;0.5150;0.5350;0.5000;0.5400;0.4850,0,0,0.2882999880625789,0.2896362568915331,1.7877835204890389,0.01897560811120254,0.05500000000000005,5,0,0.642857142857143,0.24242686710576364,1.9000745978694646,0.022064118320564218,0.010000000000000009,5,0,0.28571428571428575,0.2875881362338474,1.6867750542476203,0.17897541721612242,0.010000000000000009
Cho2017,39,7,64,200,2,0.5900000000000001,0.15000000000000013,0.5600;0.5550;0.5900;0.5250;0.5900;0.5450;0.4400,2,1,0.7207499701564473,0.22971505865353434,1.849850714944068,0.02024740787770507,0.0,1,0,-0.41443123283995714,0.2126665704798839,1.9115653256090805,0.020630562605410754,0.03500000000000014,3,0,0.18018749253911182,0.24290307905175734,1.7065979670798401,0.1786585082095855,0.06500000000000006
Cho2017,40,7,64,200,4,0.5299999999999999,0.05999999999999989,0.5250;0.5250;0.4700;0.5100;0.5300;0.4950;0.4750,2,0,0.10811249552346709,0.3668134514615522,1.770820666370013,0.03244570032599755,0.05999999999999989,2,0,-0.4684874806016907,0.1985744162987643,1.9330022357025949,0.01811814610008528,0.05999999999999989,6,0,-0.7387687194103585,0.6207870266710998,1.179856319604533,0.20037294073739362,0.05499999999999994
Cho2017,41,7,64,200,1,0.825,0.3699999999999999,0.5600;0.8250;0.6800;0.4700;0.5850;0.6400;0.4550,4,0,0.5765999761251578,0.35284285867079623,1.7481594515836842,0.02514411572250726,0.24,3,0,0.1785714285714286,0.16141947363287945,1.9426561866566572,0.016469872274818224,0.3549999999999999,5,0,-0.3214285714285715,0.767902402184041,0.8911069599161983,0.23458112111693505,0.18499999999999994
Cho2017,42,7,64,200,0,0.575,0.09999999999999998,0.5750;0.4750;0.5650;0.4950;0.5200;0.5300;0.5050,5,0,0.28571428571428575,0.3960933888142264,1.6671325534908057,0.03353116366675805,0.04499999999999993,2,0,0.0,0.18371965122444747,1.9254389345939913,0.016253126329755032,0.009999999999999898,5,0,-0.10714285714285716,0.5272624569664284,1.3565155882271454,0.2360856137627797,0.04499999999999993
Cho2017,43,7,64,200,2,0.945,0.2899999999999999,0.6550;0.8300;0.9450;0.7500;0.7550;0.8350;0.7350,2,1,0.14285714285714288,0.32355105296850006,1.7201530977155555,0.04247045289153021,0.0,2,1,0.03571428571428572,0.2709545495123528,1.8753975452967604,0.02891769574128967,0.0,2,1,0.9285714285714288,0.9641134608184627,0.16507271294348516,0.30718968624811127,0.0
Cho2017,44,7,64,200,2,0.8150000000000001,0.2550000000000001,0.7800;0.5600;0.8150;0.6500;0.7050;0.6900;0.7100,4,0,0.28571428571428575,0.5443643622399142,1.259433288085554,0.06372322737882492,0.10999999999999999,0,0,0.42857142857142866,0.18187630318372033,1.9321194571150428,0.02227096748913863,0.03500000000000003,5,0,0.10714285714285716,0.2757961473703495,1.6607091324424648,0.13030831728909578,0.125
Cho2017,45,7,64,200,1,0.625,0.305,0.4850;0.6250;0.5050;0.3200;0.4600;0.3750;0.4600,6,0,-0.8468812149338255,0.42012792393446774,1.619774421848466,0.034802401880793456,0.16500000000000004,1,1,0.3214285714285715,0.2086625983249311,1.924794606243652,0.019459020165439905,0.0,6,0,-0.3214285714285715,0.6733679210749497,1.112644825024987,0.1773452306668376,0.16500000000000004
Cho2017,46,7,64,240,2,0.7541666666666668,0.20833333333333348,0.6708;0.6917;0.7542;0.5917;0.5667;0.6125;0.5458,4,0,-0.21428571428571433,0.34151729574344386,1.8011688926898306,0.02474334838403336,0.1875000000000001,1,0,-0.21428571428571433,0.2319635600200379,1.9065666313032974,0.021773160510028564,0.06250000000000011,2,1,0.10714285714285716,0.4174328424336125,1.5055654029522179,0.1493344089563778,0.0
Cho2017,47,7,64,200,0,0.7150000000000001,0.28,0.7150;0.6350;0.4700;0.5750;0.4700;0.4350;0.4400,1,0,0.5357142857142858,0.38535786166824465,1.6771287601271982,0.030741554110507607,0.08000000000000007,1,0,0.5,0.45259121596434126,1.6495060423426096,0.03931829306891703,0.08000000000000007,6,0,-0.5,0.6626398651122911,1.1736007549842473,0.13857142763456035,0.275
Cho2017,48,7,64,200,2,0.825,0.39499999999999996,0.4650;0.6250;0.8250;0.4300;0.5300;0.5850;0.4650,2,1,0.6306562238868914,0.4687090753965818,1.4814773553909057,0.04332432603507056,0.0,3,0,-0.12613124477737828,0.19777758904436638,1.924304077244885,0.02027759648735176,0.39499999999999996,2,1,0.03603749850782236,0.9694821950707962,0.17082247503588224,0.2285134110619449,0.0
Cho2017,49,7,64,200,6,0.6950000000000001,0.15000000000000013,0.6150;0.6900;0.6450;0.6300;0.5450;0.6150;0.6950,1,0,0.4684874806016907,0.6493312434379049,1.2184421852087475,0.05672388492001912,0.0050000000000000044,1,0,0.01801874925391118,0.5522302076120305,1.4520118076612152,0.05032446489191613,0.0050000000000000044,2,0,0.5585812268712466,0.3929205766819171,1.629093967543285,0.20890724559913892,0.050000000000000044
Cho2017,50,7,64,200,0,0.85,0.21499999999999997,0.8500;0.6650;0.6450;0.8500;0.6350;0.7100;0.7550,5,0,0.3243374865704013,0.29647529505213754,1.6729440539632228,0.037142840853585435,0.14,3,0,0.10811249552346709,0.2761005689563914,1.8414403246364572,0.03637861526721502,0.0,6,0,0.10811249552346709,0.46462549749603965,1.1398617673926132,0.24883086798964074,0.09499999999999986
