dataset,subject,n_trials,n_channels,n_bands,FBCNet,fbcnet_seconds,fbcnet_params,FBCSP,FBCSP_seconds,FBCSP-L2,FBCSP-L2_seconds,AWFBCSP-published,AWFBCSP-published_seconds,AWFBCSP-reg,AWFBCSP-reg_seconds
Cho2017,18,200,64,5,0.61,47.860227823257446,13282,0.64,5.158686399459839,0.6399999999999999,5.810802459716797,0.65,6.256375551223755,0.6,5.811654329299927
Cho2017,19,200,64,5,0.515,31.824987173080444,13282,0.575,5.14122200012207,0.6,5.849464416503906,0.57,6.2547526359558105,0.6,5.870948791503906
Cho2017,20,200,64,5,0.575,44.07424259185791,13282,0.595,5.163644790649414,0.64,5.7450947761535645,0.6,6.12177848815918,0.62,5.7800657749176025
Cho2017,21,200,64,5,0.7449999999999999,77.72356033325195,13282,0.645,5.169905424118042,0.625,5.8564112186431885,0.625,6.3121232986450195,0.6599999999999999,5.858678340911865
Cho2017,22,200,64,5,0.515,31.470921993255615,13282,0.525,5.178391218185425,0.5199999999999999,5.753009557723999,0.5149999999999999,6.08972692489624,0.505,5.762429237365723
Cho2017,23,200,64,5,0.76,110.10180592536926,13282,0.71,5.1449971199035645,0.685,5.751935720443726,0.6849999999999999,6.1099066734313965,0.7149999999999999,5.728092908859253
Cho2017,24,200,64,5,0.6950000000000001,71.52828741073608,13282,0.575,5.232420444488525,0.5650000000000001,5.753889322280884,0.595,6.085492372512817,0.5800000000000001,5.7507336139678955
Cho2017,25,200,64,5,0.525,31.890600204467773,13282,0.55,5.155355453491211,0.5399999999999999,5.764236927032471,0.5349999999999999,6.092530012130737,0.575,5.75791072845459
Cho2017,26,200,64,5,0.645,72.05075430870056,13282,0.6950000000000001,5.144641399383545,0.7,5.723232269287109,0.725,6.077397346496582,0.705,5.7579240798950195
Cho2017,27,200,64,5,0.5449999999999999,29.937299966812134,13282,0.595,5.175290822982788,0.545,5.758657932281494,0.58,6.079189777374268,0.565,5.710537433624268
Cho2017,28,200,64,5,0.575,53.12557029724121,13282,0.595,5.12071681022644,0.54,5.783814907073975,0.595,6.297492742538452,0.55,5.840728521347046
Cho2017,29,200,64,5,0.53,35.32093572616577,13282,0.5450000000000002,5.143380165100098,0.5650000000000001,5.761456727981567,0.5599999999999999,6.113492250442505,0.595,5.763958692550659
Cho2017,30,200,64,5,0.5650000000000001,36.73478579521179,13282,0.6,5.127676725387573,0.57,5.699703931808472,0.595,6.079845666885376,0.525,5.71164083480835
Cho2017,31,200,64,5,0.7100000000000001,74.09335660934448,13282,0.5349999999999999,5.148513555526733,0.54,5.797996759414673,0.5549999999999999,6.1368067264556885,0.5549999999999999,5.738450765609741
Cho2017,32,200,64,5,0.515,30.490978479385376,13282,0.47000000000000003,5.129148960113525,0.48999999999999994,5.745397090911865,0.475,6.076802492141724,0.45999999999999996,5.736961364746094
Cho2017,33,200,64,5,0.49000000000000005,34.17026615142822,13282,0.45,5.128327131271362,0.505,5.828822612762451,0.45499999999999996,6.2381157875061035,0.45,5.834104061126709
Cho2017,34,200,64,5,0.5599999999999999,31.170243501663208,13282,0.5700000000000001,5.148801326751709,0.5549999999999999,5.769259691238403,0.575,6.123096466064453,0.5349999999999999,5.766653776168823
Cho2017,35,200,64,5,0.8550000000000001,97.89098954200745,13282,0.7849999999999999,5.132856369018555,0.7949999999999999,5.744688987731934,0.78,6.078016996383667,0.79,5.717072486877441
Cho2017,36,200,64,5,0.645,49.99424624443054,13282,0.5449999999999999,5.134974479675293,0.525,5.728471994400024,0.5650000000000001,6.101797580718994,0.53,5.7417285442352295
Cho2017,37,200,64,5,0.66,51.30227541923523,13282,0.7649999999999999,5.180152893066406,0.78,5.755303621292114,0.755,6.133441925048828,0.755,5.7884650230407715
Cho2017,38,200,64,5,0.525,29.984212160110474,13282,0.5650000000000001,5.146299123764038,0.54,5.737423896789551,0.5450000000000002,6.101945161819458,0.5700000000000001,5.728579998016357
Cho2017,39,200,64,5,0.65,52.65366554260254,13282,0.635,5.155920505523682,0.625,5.874960422515869,0.6449999999999999,6.265324115753174,0.6050000000000001,5.824301719665527
Cho2017,40,200,64,5,0.56,43.5859649181366,13282,0.53,5.14920711517334,0.48999999999999994,5.733426570892334,0.5349999999999999,6.097672700881958,0.48,5.732116937637329
Cho2017,41,200,64,5,0.595,73.762868642807,13282,0.715,5.137651443481445,0.685,5.748798608779907,0.705,6.073004484176636,0.6900000000000001,5.736809730529785
Cho2017,42,200,64,5,0.6,65.32130718231201,13282,0.5349999999999999,5.129826784133911,0.52,5.707343339920044,0.545,6.08953070640564,0.5200000000000001,5.707782506942749
Cho2017,43,200,64,5,0.975,103.28822898864746,13282,0.97,5.139392852783203,0.9549999999999998,5.717636823654175,0.97,6.0866193771362305,0.9400000000000001,5.725332736968994
Cho2017,44,200,64,5,0.765,111.87279081344604,13282,0.76,5.137530326843262,0.765,5.748171806335449,0.7649999999999999,6.085144519805908,0.73,5.754848003387451
Cho2017,45,200,64,5,0.52,36.71416711807251,13282,0.465,5.146142482757568,0.43000000000000005,5.7141900062561035,0.45,6.07108473777771,0.38499999999999995,5.705532550811768
Cho2017,46,240,64,5,0.7041666666666667,109.99124097824097,13282,0.7916666666666666,6.069098472595215,0.775,6.889103889465332,0.8125,7.4006311893463135,0.7458333333333333,6.870664834976196
Cho2017,47,200,64,5,0.6849999999999999,36.650235414505005,13282,0.495,5.129390239715576,0.49499999999999994,5.7288172245025635,0.5,6.061542987823486,0.5399999999999999,5.745825290679932
Cho2017,48,200,64,5,0.8850000000000001,113.90078163146973,13282,0.805,5.128740072250366,0.765,5.7286458015441895,0.8100000000000002,6.0809996128082275,0.78,5.720578193664551
Cho2017,49,200,64,5,0.8099999999999999,90.85612154006958,13282,0.74,5.14066219329834,0.725,5.749799489974976,0.725,6.082715749740601,0.75,5.7237229347229
Cho2017,50,200,64,5,0.8550000000000001,91.21064114570618,13282,0.825,5.141574859619141,0.7849999999999999,5.747298955917358,0.835,6.074993848800659,0.8,5.736392021179199
Cho2017,51,200,64,5,0.5050000000000001,32.36018943786621,13282,0.49499999999999994,5.135986328125,0.505,5.772003412246704,0.51,6.0707688331604,0.465,5.736963748931885
Cho2017,52,200,64,5,0.47000000000000003,34.89658570289612,13282,0.6900000000000001,5.138742923736572,0.655,5.8272998332977295,0.6849999999999999,6.282253742218018,0.655,5.847956418991089
Dreyer2023,1,240,27,5,0.8166666666666667,187.4246904850006,7362,0.8125,4.060293674468994,0.7875000000000001,4.688195466995239,0.825,5.0151686668396,0.825,4.667084693908691
Dreyer2023,2,240,27,5,0.6583333333333333,144.3648452758789,7362,0.5916666666666667,4.053433418273926,0.5791666666666667,4.679437160491943,0.5833333333333333,4.999035596847534,0.5833333333333334,4.682605981826782
Dreyer2023,3,240,27,5,0.9708333333333334,218.90274667739868,7362,0.9625,4.06891942024231,0.9333333333333333,4.662853479385376,0.9666666666666668,5.000377178192139,0.8958333333333333,4.688522815704346
Dreyer2023,4,240,27,5,0.5249999999999999,69.36930823326111,7362,0.7125,4.080434560775757,0.7083333333333334,4.683931350708008,0.7083333333333333,5.006052017211914,0.6791666666666666,4.695221424102783
Dreyer2023,5,240,27,5,0.7249999999999999,149.25254201889038,7362,0.6625,4.066061973571777,0.6625,4.65064001083374,0.6541666666666667,5.010972738265991,0.6583333333333333,4.688641786575317
Dreyer2023,6,240,27,5,0.6166666666666666,118.52194690704346,7362,0.7791666666666666,4.0651161670684814,0.7791666666666666,4.693875789642334,0.7875000000000001,5.007345676422119,0.7791666666666667,4.697347402572632
