dataset,subject,n_trials,n_channels,n_bands,tau,descriptor,entropy,deficit,max_w,mi_range,argmax_w,argmax_disc,peak_correct,weights,disc,g0.0,g0.5,g1.0,g2.0,g4.0,gain,gain_best,FBCSP,FBCSP+MIBIF,AWFBCSP-published,AWFBCSP-noweight,published_minus_noweight
Cho2017,2,200,64,7,0.015,csp,1.731457735868886,0.21445241318642716,0.2870597213308533,0.03366904643961882,3,3,1,0.1615;0.2492;0.0492;0.2871;0.0771;0.0304;0.1456,0.0950;0.1015;0.0772;0.1036;0.0839;0.0699;0.0934,0.5399999999999999,0.5549999999999999,0.5650000000000001,0.565,0.555,0.025000000000000133,0.025000000000000133,0.5800000000000001,0.6050000000000001,0.5900000000000001,0.5900000000000001,0.0
Cho2017,3,200,64,7,0.015,csp,1.4360329369687406,0.5098772120865727,0.3648084335874148,0.08022731219334883,2,2,1,0.0301;0.0017;0.3648;0.3151;0.0364;0.2057;0.0461,0.1722;0.1294;0.2097;0.2075;0.1751;0.2011;0.1786,0.765,0.775,0.7699999999999999,0.75,0.76,0.004999999999999893,0.010000000000000009,0.7550000000000001,0.8400000000000001,0.765,0.765,0.0
Cho2017,4,200,64,7,0.015,csp,0.8979131839231598,1.0479969651321535,0.5702824402845406,0.10384967176032953,5,5,1,0.0006;0.0007;0.3671;0.0040;0.0040;0.5703;0.0533,0.1128;0.1154;0.2100;0.1422;0.1424;0.2166;0.1811,0.685,0.7050000000000001,0.705,0.695,0.685,0.019999999999999907,0.020000000000000018,0.7150000000000001,0.8549999999999999,0.7150000000000001,0.7150000000000001,0.0
Cho2017,5,200,64,7,0.015,csp,1.8547359121230675,0.09117423693224569,0.2419511076451361,0.02691933322392351,4,4,1,0.1879;0.1116;0.1504;0.1289;0.2420;0.0402;0.1389,0.1974;0.1896;0.1940;0.1917;0.2012;0.1742;0.1928,0.8099999999999999,0.8049999999999999,0.7700000000000001,0.665,0.615,-0.039999999999999813,0.0,0.825,0.775,0.825,0.825,0.0
Cho2017,6,200,64,7,0.015,csp,1.4185517721869854,0.5273583768683279,0.5240262530111582,0.046059771684456796,4,4,1,0.0476;0.0385;0.2108;0.0579;0.5240;0.0243;0.0968,0.1549;0.1517;0.1772;0.1578;0.1908;0.1448;0.1655,0.8150000000000001,0.72,0.7000000000000001,0.6599999999999999,0.625,-0.11499999999999999,0.0,0.785,0.74,0.765,0.765,0.0
Cho2017,7,240,64,7,0.015,csp,1.4184109513906202,0.527499197664693,0.49675119486910657,0.0509628102299198,4,4,1,0.0474;0.1112;0.0166;0.0184;0.4968;0.2292;0.0805,0.0515;0.0643;0.0358;0.0374;0.0868;0.0751;0.0594,0.4833333333333333,0.4875,0.4666666666666667,0.4875,0.5041666666666667,-0.016666666666666607,0.02083333333333337,0.4916666666666667,0.5208333333333333,0.4875,0.4875,0.0
Cho2017,8,200,64,7,0.015,csp,1.3512211014855262,0.594689047569787,0.5789346619132968,0.04987331819780699,3,3,1,0.0683;0.1167;0.0403;0.5789;0.0208;0.1412;0.0338,0.1644;0.1724;0.1565;0.1964;0.1466;0.1753;0.1538,0.525,0.5599999999999999,0.59,0.5599999999999999,0.525,0.06499999999999995,0.06499999999999995,0.5700000000000001,0.525,0.575,0.575,0.0
Cho2017,9,240,64,7,0.015,csp,1.3417538285996526,0.6041563204556606,0.4120508010040328,0.09594524504816146,5,5,1,0.0056;0.0007;0.0962;0.1169;0.0277;0.4121;0.3408,0.1185;0.0870;0.1611;0.1640;0.1424;0.1829;0.1801,0.575,0.5083333333333333,0.5083333333333333,0.5333333333333334,0.525,-0.06666666666666665,0.0,0.5541666666666667,0.5333333333333334,0.5458333333333333,0.5458333333333333,0.0
Cho2017,10,200,64,7,0.015,csp,1.533138686368526,0.4127714626867873,0.5159717753650759,0.03578996115474367,0,0,1,0.5160;0.0629;0.0570;0.0475;0.1130;0.0880;0.1156,0.1898;0.1583;0.1568;0.1541;0.1671;0.1633;0.1674,0.5900000000000001,0.575,0.575,0.5450000000000002,0.49499999999999994,-0.015000000000000124,0.0,0.5999999999999999,0.675,0.595,0.595,0.0
Cho2017,11,200,64,7,0.015,csp,1.251980948391902,0.6939292006634112,0.5418803024948826,0.06776098773327416,4,4,1,0.0098;0.0059;0.0301;0.0458;0.5419;0.2493;0.1172,0.1555;0.1479;0.1723;0.1786;0.2157;0.2040;0.1927,0.5549999999999999,0.5599999999999999,0.55,0.56,0.575,-0.004999999999999893,0.020000000000000018,0.5850000000000001,0.555,0.5900000000000001,0.5900000000000001,0.0
