dataset,subject,n_bands,n_channels,n_trials,best_band,best_band_acc,acc_spread,band_acc,logvar_li_argmax,logvar_li_correct,logvar_li_rho,logvar_li_maxw,logvar_li_entropy,logvar_li_mi_max,logvar_li_acc_cost,logpower_argmax,logpower_correct,logpower_rho,logpower_maxw,logpower_entropy,logpower_mi_max,logpower_acc_cost,csp_argmax,csp_correct,csp_rho,csp_maxw,csp_entropy,csp_mi_max,csp_acc_cost
BNCI2014-004,8,5,3,760,0,0.7789473684210526,0.2802631578947369,0.7789;0.5645;0.5105;0.6842;0.4987,0,1,0.8999999999999998,0.9408289696830877,0.2878067713623498,0.0880144742436771,0.0,0,1,0.6,0.8571813701504233,0.5104616180046545,0.07879049152560073,0.0,0,1,0.9746794344808963,0.9980451635996497,0.014190516230197615,0.21288882903391226,0.0
BNCI2014-004,9,5,3,720,1,0.7333333333333334,0.11527777777777781,0.7000;0.7333;0.6181;0.7083;0.7153,3,0,0.7,0.4574851758608929,1.3718175883757597,0.04634164054145488,0.025000000000000022,3,0,-0.3,0.3190254343263933,1.5438108484889534,0.03173851476582149,0.025000000000000022,3,0,0.7,0.42751898440013764,1.1905800024244924,0.15850416729819983,0.025000000000000022
Lee2019-MI,1,5,62,100,0,0.6699999999999999,0.21999999999999992,0.6700;0.6400;0.5100;0.4600;0.4500,3,0,-0.49999999999999994,0.25780421666911113,1.5847171139050245,0.009943790535801003,0.20999999999999985,1,0,0.39999999999999997,0.2619917117444805,1.592045954835878,0.020277695324803266,0.029999999999999916,1,0,0.49999999999999994,0.9683619798518611,0.1769812892544493,0.19934064161708503,0.029999999999999916
Lee2019-MI,2,5,62,100,4,1.0,0.45999999999999996,0.5500;0.5700;0.5400;0.8500;1.0000,1,0,-0.09999999999999999,0.7223716216760381,0.8348118859845569,0.056304707396717925,0.43000000000000005,4,1,0.8999999999999998,0.3247497994307433,1.535188137313754,0.029357241077470102,0.0,4,1,0.8999999999999998,0.9983608309410141,0.01231246988564934,0.43775398571576474,0.0
Lee2019-MI,3,5,62,100,0,0.93,0.3500000000000002,0.9300;0.8700;0.5800;0.7600;0.7600,1,0,0.46169025843831935,0.7956125365523788,0.745275002515494,0.0624417893298046,0.060000000000000164,1,0,-0.20519567041703082,0.44086258674216905,1.4595188898277378,0.03356787484771401,0.060000000000000164,3,0,-0.35909242322980395,0.632500176063,0.7663770149303574,0.26826324791651357,0.17000000000000004
Lee2019-MI,4,5,62,100,1,0.8300000000000001,0.19000000000000006,0.7400;0.8300;0.7200;0.6800;0.6400,3,0,-0.7181848464596079,0.5273079420477036,1.3452116269350252,0.023759293055298263,0.15000000000000013,1,1,0.8999999999999998,0.4009735074331944,1.4224086323442529,0.04032120872822426,0.0,1,1,0.9999999999999999,0.8981956105539431,0.40903542137001325,0.30637446061594054,0.0
Lee2019-MI,5,5,62,100,4,0.68,0.17000000000000004,0.6700;0.6000;0.5100;0.6000;0.6800,4,1,0.20519567041703082,0.9949760172198476,0.03496506003601434,0.1275510966891121,0.0,3,0,-0.10259783520851541,0.31624650708347213,1.5583610054399961,0.03111722618734538,0.08000000000000007,0,0,0.8720815992723809,0.6901944932902142,0.7256598005747775,0.22560752656956184,0.01000000000000012
Lee2019-MI,6,5,62,100,1,0.8200000000000001,0.33999999999999997,0.6200;0.8200;0.4800;0.5000;0.5200,0,0,0.49999999999999994,0.9608460346882799,0.21046020285768405,0.0821587839365056,0.19999999999999996,2,0,-0.3,0.23656471771483287,1.592007733347038,0.01999288387644456,0.33999999999999997,1,1,0.6,0.9867878003503264,0.07107081487289005,0.29068434990578945,0.0
Lee2019-MI,7,5,62,100,0,0.72,0.16000000000000003,0.7200;0.6500;0.5600;0.6300;0.6200,3,0,-0.3,0.8197333713835029,0.6511665317058029,0.09650669503472835,0.08999999999999997,4,0,-0.39999999999999997,0.534375612778356,1.2583191334215937,0.05998641265755949,0.09999999999999998,1,0,0.0,0.7828170667845823,0.7187602340009307,0.21510244885235788,0.06999999999999995
Lee2019-MI,8,5,62,100,1,0.7699999999999999,0.2999999999999999,0.5400;0.7700;0.5200;0.5700;0.4700,2,0,-0.05129891760425771,0.9104842297118785,0.4222625804250313,0.0586792402712506,0.2499999999999999,0,0,0.7,0.37016302200067497,1.479953750284127,0.031904015908576604,0.22999999999999987,2,0,0.39999999999999997,0.9389771301802748,0.28634638652356326,0.1640434507590369,0.2499999999999999
